Number,Type,Name,Route
1526/7,IC,MONIUSZKO,WarszawaGł._Sochaczew_Kutno_Włocławek_ToruńGł._BydgoszczGł.
1528/9,IC,REJEWSKI,WarszawaWsch._WarszawaCentr._Sochaczew_Kutno_Włocławek_ToruńGł._BydgoszczGł.
1530/1,IC,BRDA,WarszawaWsch._WarszawaCentr._Sochaczew_Kutno_Włocławek_ToruńGł._BydgoszczGł.
1530/1,IC,BRDA,WarszawaCentr._Ciechanów_IławaGł._ToruńGł._BydgoszczGł.
1532/3,IC,KOCIEWIE,ŁódźFabr._ŁódźWidzew_ŁódźKaliska_Kutno_ToruńGł._BydgoszczGł._Tczew_GdańskGł._GdyniaGł.
1540/1,EIC,JANTAR,WarszawaCentr._GdańskGł._GdyniaGł._Władysławowo_Hel
1542/3,IC,LAGUNA,WarszawaCentr._Działdowo_IławaGł._Tczew_GdańskGł._GdyniaGł.
1544/5,EIC,KASZUB,WarszawaCentr._GdańskGł._GdyniaGł.
1546/7,EIC,NEPTUN,WarszawaCentr._GdańskGł._GdyniaGł.
1600/1,EIC,PANORAMA,WarszawaWsch._WarszawaCentr._CzęstochowaStr._Lubliniec_OpoleGł._WrocławGł.
1600/1,EIC,PANORAMA,WarszawaWsch._WarszawaCentr._CzęstochowaStr._Lubliniec_OpoleGł._WrocławGł.
1602/3,EIP,,WarszawaWsch._WarszawaCentr._CzęstochowaStr._Lubliniec_OpoleGł._WrocławGł.
16100/1,TLK,ORZESZKOWA,WarszawaWsch._WarszawaCentr._Koluszki_PiotrkówTrybunalski_Częstochowa_Lubliniec_OpoleGł._WrocławGł._WałbrzychGł._JeleniaGóra_SzklarskaPorębaGórna
16100/1,TLK,ORZESZKOWA,WarszawaWsch._WarszawaCentr._Koluszki_PiotrkówTrybunalski_Częstochowa_Lubliniec_OpoleGł._WrocławGł._WałbrzychGł._JeleniaGóra
16102/3,IC,DĄBROWSKA,Białystok_Małkinia_WarszawaCentr._Skierniewice_ŁódźWidzew_ZduńskaWola_OstrówWlkp._Krotoszyn_OleśnicaRataje_WrocławGł.
16104/5,IC,NAŁKOWSKA,Białystok_Małkinia_WarszawaCentr._Skierniewice_PiotrówTryb._CzęstochowaStr._Lubliniec_OpoleGł._WrocławGł.
16170/1,TLK,KARKONOSZE,WarszawaWsch._WarszawaCentr._Częstochowa_Zawiercie_Katowice_StrzelceOpolskie_OpoleGł._WrocławGł._Wałbrzych_JeleniaGóra
16190/1,TLK,KARKONOSZE,WarszawaWsch._WarszawaCentr._Częstochowa_Zawiercie_Katowice_StrzelceOpolskie_OpoleGł._WrocławGł._Wałbrzych_JeleniaGóra_SzklarskaPorębaGórna
1620/1,IC,ASNYK,WarszawaWsch._WarszawaCentr._Skierniewice_Koluszki_ŁódźWidzew_Pabianice_ZduńskaWola_OstrówWlkp._Krotoszyn_OleśnicaRataje_WrocławGł.
1622/3,IC,BACZYŃSKI,WarszawaWsch._WarszawaCentr._Skierniewice_Koluszki_ŁódźWidzew_ZduńskaWola_OstrówWlkp._Krotoszyn_OleśnicaRataje_WrocławGł.
1624/5,IC,FREDRO,WarszawaWsch._WarszawaCentr._Skierniewice_Koluszki_PiotrkówTryb._Częstochowa_Lubliniec_OpoleGł._WrocławGł.
1626/7,IC,ŁUŻYCE,WarszawaWsch._WarszawaGdańska_Skierniewice_Koluszki_ŁódźWidzew_ZduńskaWola_OstrówWlkp._Krotoszyn_OleśnicaRataje_WrocławGł._Legnica_Węgliniec_Zgorzelec
1628/9,IC,OLEŃKA,WarszawaWsch._WarszawaGdańska_Skierniewice_Koluszki_PiotrkówTryb._Częstochowa_Lubliniec_OpoleGł._WrocławGł.
1650/1,IC,ŚNIEŻKA,WarszawaWsch._WarszawaCentr._OpocznoPłd._CzęstochowaStr._OpoleGł._WrocławGł._JaworzynaŚl._WałbrzychMiasto_JeleniaGóra_SzklarskaPorębaGórna
